Icon,Hex Code,Names
,,
DEFAULT,,
ellipsis-h,f141,misc
prescription-bottle-alt,f486,medicine
running,f70c,exercise
stethoscope,f0f1,doctor
tv,f26c,TV
user-friends,f500,social
utensils,f2e7,eating
,,
HOBBIES,,
book,f02d,book
camera,f030,camera
chess,f439,chess
dumbbell,f44b,work out
guitar,f7a6,guitar
hammer,f6e3,crafting
hand-holding-heart,f4bd,charity
laptop,f109,laptop
music,f001,music
oil-can,f613,maintanence
,,
TRAVEL,,
anchor,f13d,sailing
bicycle,f206,biking
bus-alt,f55e,bus
car,f1b9,car
dolly,f472,moving
plane,f072,plane
train,f238,train
walking,f554,walking
,,
NATURE,,
binoculars,f1e5,sightseeing
campground,f6bb,camping
hiking,f6ec,hiking
skiing,f7c9,skiing
snowboarding,f7ce,snowboarding
snowman,f7d0,snowman
umbrella-beach,f5ca,beach
,,
ERRAND,,
briefcase,f0b1,work
credit-card,f09d,payment
gavel,f0e3,court
graduation-cap,f19d,study
hospital,f0f8,hospital
landmark,f66f,bank
phone-alt,f879,phone
prescription,f5b1,prescription
shopping-cart,f07a,shopping
theater-masks,f630,theater
vote-yea,f772,voting
,,
SELF-CARE,,
bath,f2cd,bath
bed,f236,bed
cat,f6be,cat
coffee,f0f4,coffee
dog,f6d3,dog
pray,f683,worship
,,
FRIEND,,
baby-carriage,f77d,baby
birthday-cake,f1fd,birthday
glass-cheers,f79f,party
heart,f004,date
home,f015,home
,,
SPORT,,
baseball-ball,f433,baseball
basketball-ball,f434,basketball
bowling-ball,f436,bowling
football-ball,f44e,football
futbol,f1e3,soccer
golf-ball,f450,golf
hockey-puck,f453,hockey
skating,f7c5,skating
swimmer,f5c4,swimming
table-tennis,f45d,table tennis
volleyball-ball,f45f,volleyball
